Time,Vehicle_Count,Queue_Length,Average_Speed,Average_Waiting_Time
290,19,10,4.93,7.63
291,20,10,4.9,7.75
292,20,10,5.07,8.25
293,21,10,5.16,8.33
294,21,10,5.17,8.81
295,19,10,4.79,10.26
296,20,10,5.42,10.25
297,20,10,5.29,10.75
298,20,10,5.19,11.25
299,21,10,5.4,11.19
300,21,10,5.07,11.67
301,21,10,5.09,12.14
302,19,10,4.42,13.95
303,21,10,4.94,13.1
304,20,10,4.91,14.25
305,20,10,5.15,14.75
306,20,10,5.1,15.25
307,19,10,5.08,16.58
308,20,10,5.33,16.25
309,19,10,5.1,17.63
310,20,10,5.14,17.25
311,20,10,4.8,17.75
312,20,10,4.83,18.25
313,20,10,4.87,18.75
314,21,10,5.15,18.33
315,20,10,3.66,19.75
316,20,8,2.85,15.8
317,20,7,2.4,11.95
318,21,7,2.58,7.86
319,20,7,2.37,4.55
320,21,6,2.67,0.71
321,20,7,2.65,1.1
322,21,7,3.26,1.38
323,22,9,3.87,1.73
324,21,9,3.44,2.24
325,22,11,4.09,2.64
326,22,11,4.1,3.14
327,21,12,4.0,3.86
328,22,12,4.12,4.23
329,21,12,3.85,5.0
330,21,12,4.05,5.57
331,22,12,4.21,5.86
332,21,12,4.03,6.71
333,21,12,3.78,7.29
334,22,12,4.15,7.5
335,20,12,3.3,8.85
336,22,12,3.75,8.59
337,21,12,3.47,9.57
338,22,12,3.41,9.68
339,22,12,3.65,10.23
340,22,12,3.75,10.77
341,22,12,3.54,11.32
342,23,12,3.86,11.35
343,22,12,3.95,12.41
344,22,12,3.96,12.95
345,22,12,4.28,13.5
346,21,12,4.0,14.71
347,22,12,4.41,14.59
348,21,12,4.21,15.86
349,21,12,3.93,16.43
350,21,12,3.66,17.0
351,22,12,3.85,16.77
352,22,12,3.89,17.32
353,21,12,3.73,18.71
354,22,12,3.94,18.41
355,22,12,4.14,18.95
356,22,12,4.17,19.5
357,21,12,3.73,21.0
358,22,12,4.35,20.59
359,22,12,3.4,21.14
360,22,12,3.12,21.68
361,22,11,2.17,18.23
362,22,10,1.75,14.73
363,22,9,1.36,11.18
364,22,8,1.84,7.73
365,22,7,2.45,4.32
366,22,6,3.25,0.95
367,21,8,3.71,1.38
368,21,8,4.45,1.76
369,19,10,4.15,2.47
370,21,10,4.92,2.71
371,19,10,4.26,3.53
372,19,10,3.99,4.05
373,20,10,4.61,4.35
374,21,10,4.9,4.62
375,20,10,4.71,5.35
376,20,10,4.86,5.85
377,21,10,5.18,6.05
378,20,10,4.82,6.85
379,19,10,4.78,7.74
380,21,10,5.42,7.48
381,20,10,5.05,8.35
382,21,10,5.22,8.43
383,20,10,4.64,9.35
384,22,10,4.94,8.95
385,20,10,4.33,10.35
386,21,10,4.87,10.33
387,20,10,4.82,11.35
388,20,10,4.71,11.85
389,20,10,5.05,12.35
390,20,10,4.89,12.85
391,20,10,4.61,13.35
392,21,10,5.08,13.19
393,21,10,4.86,13.67
394,22,10,5.25,13.5
395,21,10,4.98,14.62
396,22,10,5.29,14.41
397,20,10,5.1,16.35
398,20,10,4.91,16.85
399,20,10,5.09,17.35
400,20,10,5.06,17.85
401,20,10,4.86,18.35
402,20,10,4.9,18.85
403,20,10,4.44,19.35
404,20,10,4.36,19.85
405,21,10,3.98,19.38
406,20,9,3.06,16.35
407,21,7,2.94,11.81
408,20,6,2.55,8.45
409,21,4,2.22,4.29
410,21,4,2.66,0.48
411,21,5,3.17,0.71
412,20,6,3.25,1.05
413,21,6,4.11,1.29
414,21,9,3.59,1.71
415,21,9,4.02,2.14
416,22,10,4.09,2.5
417,21,11,4.08,3.14
418,21,12,4.23,3.71
419,21,12,3.93,4.29
420,21,12,4.18,4.86
421,22,12,4.3,5.18
422,21,12,4.02,6.0
423,20,12,3.58,6.9
424,22,12,4.18,6.82
425,20,12,3.73,8.1
426,21,12,4.28,8.29
427,21,12,3.8,8.86
428,21,12,4.07,9.43
429,21,12,4.15,10.0
430,21,12,4.03,10.57
431,20,12,3.94,11.7
432,22,12,4.38,11.18
433,21,12,4.21,12.29
434,22,12,4.28,12.27
435,21,12,4.05,13.43
436,21,12,4.17,14.0
437,22,12,4.5,13.91
438,21,12,4.32,15.14
439,20,12,3.98,16.5
440,21,12,4.11,16.29
441,20,12,3.57,17.7
442,22,12,4.24,16.64
443,21,12,3.96,18.0
444,21,12,4.32,18.57
445,21,12,3.98,19.14
446,21,12,4.05,19.71
447,20,12,3.85,21.3
448,21,12,3.8,20.86
449,20,12,3.34,22.5
450,22,12,2.88,21.0
451,21,11,2.28,18.43
452,21,10,1.91,14.86
453,22,9,2.07,10.86
454,22,9,2.05,7.64
455,22,7,2.46,4.36
456,22,6,3.12,1.0
457,21,8,3.29,1.43
458,21,9,3.84,1.86
459,22,10,4.54,2.23
460,21,10,4.45,2.81
461,20,10,4.63,3.45
462,21,10,4.88,3.76
463,20,10,4.77,4.45
464,19,10,4.64,5.21
465,20,10,4.89,5.45
466,20,10,5.45,5.95
467,19,10,5.35,6.79
468,19,10,5.12,7.32
469,19,10,5.43,7.84
470,19,10,5.0,8.37
471,19,10,5.16,8.89
472,19,10,4.64,9.42
473,20,10,5.35,9.45
474,18,10,4.72,11.06
475,19,10,4.73,11.0
476,18,10,4.72,12.17
477,20,10,5.37,11.45
478,19,10,4.75,12.58
479,20,10,4.86,12.45
480,20,10,4.8,12.95
481,20,10,4.86,13.45
482,20,10,4.86,13.95
483,20,10,5.06,14.45
484,18,10,4.39,16.61
485,20,10,4.78,15.45
486,19,10,4.74,16.79
487,20,10,4.8,16.45
488,20,10,4.78,16.95
489,20,10,4.34,17.45
490,20,10,4.41,17.95
491,20,10,4.52,18.45
492,20,10,4.68,18.95
493,20,10,4.6,19.45
494,19,10,4.07,21.0
495,20,10,3.3,20.45
496,21,9,3.24,15.67
497,22,8,3.29,11.36
498,21,6,2.57,8.14
499,21,5,2.8,4.38
500,20,5,2.77,0.65
501,21,5,3.21,0.86
502,21,8,3.23,1.24
503,23,9,3.93,1.52
504,21,10,3.5,2.14
505,21,10,3.87,2.57
506,22,12,4.22,3.0
507,21,12,4.35,3.71
508,22,12,4.72,4.09
509,21,12,4.34,4.86
510,22,12,4.35,5.18
511,20,12,3.45,6.3
512,21,12,3.97,6.57
513,22,12,4.14,6.82
514,21,12,3.91,7.71
515,21,12,4.05,8.29
516,22,12,4.08,8.45
517,20,12,3.56,9.9
518,21,12,4.21,10.0
519,21,12,3.9,10.57
520,21,12,4.18,11.14
521,21,12,3.81,11.71
522,22,12,4.19,11.73
523,21,12,3.94,12.86
524,22,12,3.93,12.82
525,21,12,3.86,14.0
526,21,12,3.86,14.57
527,21,12,3.69,15.14
528,21,12,3.7,15.71
529,22,12,4.0,15.55
530,22,12,4.12,16.09
531,21,12,3.89,17.43
532,22,12,4.09,17.18
533,21,12,3.95,18.57
534,22,12,4.02,18.27
535,21,12,3.77,19.71
536,21,12,3.82,20.29
537,22,12,4.24,19.91
538,21,12,4.29,21.43
539,22,12,4.37,21.0
540,21,12,3.26,22.57
541,22,10,3.14,17.95
542,21,9,1.99,15.19
543,21,7,2.34,11.52
544,21,7,1.91,7.86
545,22,6,2.34,4.09
546,22,5,3.08,0.64
547,22,7,3.74,0.95
548,22,8,4.5,1.32
549,20,9,4.19,1.9
550,22,10,5.02,2.18
551,20,10,4.66,2.9
552,20,10,4.94,3.4
553,20,10,4.66,3.9
554,20,10,5.0,4.4
555,20,10,4.59,4.9
556,21,10,4.98,5.14
557,19,10,4.49,6.21
558,21,10,4.98,6.1
559,19,10,4.24,7.26
560,21,10,4.64,7.05
561,21,10,4.79,7.52
562,21,10,4.82,8.0
563,20,10,4.47,8.9
564,21,10,5.32,8.95
565,19,10,4.77,10.42
566,21,10,5.6,9.9
567,19,10,5.06,11.47
568,20,10,5.21,11.4
569,20,10,5.4,11.9
570,20,10,5.02,12.4
571,20,10,5.02,12.9
572,19,10,4.94,14.11
573,20,10,5.17,13.9
574,20,10,5.2,14.4
575,19,10,4.69,15.68
576,20,10,5.24,15.4
577,19,10,4.52,16.74
578,20,10,4.92,16.4
579,19,10,4.5,17.79
580,20,10,4.62,17.4
581,19,10,4.26,18.84
582,19,10,3.73,19.37
583,19,10,3.74,19.89
584,19,10,3.7,20.42
585,20,10,2.87,19.9
586,19,8,2.92,16.84
587,19,7,2.9,12.74
588,18,6,2.28,9.17
589,18,4,2.84,4.78
590,19,3,3.68,0.42
591,20,3,4.13,0.55
592,20,4,4.0,0.75
593,22,6,4.41,0.95
594,20,7,3.84,1.4
595,20,9,3.94,1.85
596,22,9,4.11,2.09
597,22,10,4.3,2.55
598,22,11,4.26,3.05
599,22,11,4.41,3.55
600,21,12,4.2,4.29
601,22,12,4.48,4.64
602,21,12,4.37,5.43
603,22,12,4.58,5.73
604,20,12,3.9,6.9
605,21,12,4.34,7.14
606,22,12,4.4,7.36
607,21,12,4.28,8.29
608,21,12,4.11,8.86
609,21,12,4.07,9.43
610,20,12,3.74,10.5
611,22,12,4.31,10.09
612,21,12,3.93,11.14
613,22,12,3.91,11.18
614,21,12,3.66,12.29
615,21,12,3.86,12.86
616,21,12,3.77,13.43
617,22,12,4.28,13.36
618,21,12,4.16,14.57
619,22,12,4.37,14.45
620,21,12,4.18,15.71
621,21,12,4.33,16.29
622,20,12,3.44,17.7
623,21,12,4.14,17.43
624,21,12,4.08,18.0
625,22,12,4.51,17.73
626,21,12,3.94,19.14
627,22,12,4.48,18.82
628,22,12,4.38,19.36
629,22,12,3.82,19.91
630,22,13,2.89,20.5
631,22,12,2.06,17.09
632,22,10,1.76,13.86
633,23,10,1.87,10.26
634,22,10,1.57,7.64
635,22,8,2.19,4.45
636,22,7,2.92,1.27
637,21,8,3.22,1.71
638,21,10,3.94,2.19
639,19,10,3.7,2.95
640,20,10,4.33,3.3
641,20,10,4.26,3.8
642,20,10,4.13,4.3
643,20,10,4.41,4.8
644,20,10,3.96,5.3
645,20,10,4.38,5.8
646,20,10,4.74,6.3
647,21,10,5.01,6.48
648,20,10,4.93,7.3
649,19,10,4.47,8.21
650,20,10,4.63,8.3
651,20,10,4.73,8.8
652,20,10,4.78,9.3
653,20,10,4.61,9.8
654,20,10,4.69,10.3
655,21,10,5.0,10.29
656,20,10,4.72,11.3
657,19,10,4.42,12.42
658,20,10,4.39,12.3
659,20,10,4.69,12.8
660,21,10,5.1,12.67
661,20,10,4.59,13.8
662,21,10,5.14,13.62
663,21,10,5.05,14.1
664,20,10,4.83,15.3
665,20,10,4.98,15.8
666,20,10,4.84,16.3
667,20,10,5.09,16.8
668,19,10,4.92,18.21
669,20,10,5.29,17.8
670,19,10,4.93,19.26
671,19,10,4.64,19.79
672,20,10,5.15,19.3
673,19,10,4.93,20.84
674,20,10,4.79,20.3
675,19,10,4.32,21.89
676,20,8,3.61,16.65
677,21,7,3.65,12.0
678,21,5,3.13,8.05
679,21,4,2.95,4.19
680,20,4,2.86,0.4
681,20,4,3.41,0.6
682,21,6,3.31,0.86
683,23,7,3.8,1.09
684,22,8,3.8,1.5
685,21,10,3.91,2.05
686,22,10,4.24,2.41
687,21,11,4.28,3.05
688,22,12,4.5,3.45
689,21,12,4.24,4.19
690,22,12,4.35,4.55
691,22,12,4.37,5.09
692,21,12,4.01,5.9
693,21,12,4.04,6.48
694,21,12,4.26,7.05
695,20,12,4.01,8.0
696,22,12,4.7,7.82
697,21,12,4.25,8.76
698,21,12,3.69,9.33
699,20,12,3.4,10.4
700,21,12,3.79,10.48
701,21,12,3.49,11.05
702,21,12,3.52,11.62
703,20,12,3.45,12.8
704,22,12,4.08,12.18
705,21,12,3.6,13.33
706,22,12,4.07,13.27
707,22,12,3.98,13.82
708,22,12,4.27,14.36
709,21,12,4.12,15.62
710,22,12,4.35,15.45
711,21,12,4.27,16.76
712,20,12,3.99,18.2
713,21,12,4.25,17.9
714,20,12,3.82,19.4
715,21,12,4.09,19.05
716,21,12,4.22,19.62
717,20,12,3.92,21.2
718,22,12,4.44,19.82
719,21,12,3.63,21.33
720,22,12,3.01,20.91
721,21,11,1.82,18.33
722,22,9,1.73,14.09
723,22,8,1.76,10.73
724,22,8,1.72,7.41
725,22,8,2.23,4.14
726,22,7,2.96,0.95
727,21,7,3.2,1.33
728,21,8,3.9,1.71
729,20,10,4.21,2.3
730,20,10,4.55,2.8
731,19,10,4.45,3.47
732,20,10,5.05,3.8
733,20,10,4.97,4.3
734,20,10,4.77,4.8
735,20,10,4.83,5.3
736,20,10,4.97,5.8
737,20,10,5.11,6.3
738,19,10,4.84,7.16
739,19,10,4.89,7.68
740,20,10,5.35,7.8
741,19,10,5.1,8.74
742,20,10,5.42,8.8
743,19,10,5.06,9.79
744,19,10,4.64,10.32
745,20,10,4.86,10.3
746,20,10,4.69,10.8
747,20,10,4.85,11.3
748,20,10,4.83,11.8
749,20,10,4.58,12.3
750,20,10,4.96,12.8
751,20,10,5.22,13.3
752,20,10,5.19,13.8
753,19,10,4.97,15.05
754,19,10,4.39,15.58
755,20,10,4.89,15.3
756,20,10,4.69,15.8
757,20,10,4.82,16.3
758,19,10,4.3,17.68
759,20,10,4.52,17.3
760,20,10,4.59,17.8
761,19,10,3.84,19.26
762,19,10,4.0,19.79
763,21,10,4.79,18.38
764,20,10,4.34,19.8
765,21,10,3.95,19.33
766,21,9,3.58,15.57
767,20,8,2.55,12.45
768,21,7,2.74,8.1
769,21,5,2.91,4.33
770,20,5,2.8,0.7
771,20,6,2.9,1.0
772,21,8,3.39,1.33
773,21,9,3.67,1.76
774,21,9,3.68,2.19
775,20,11,3.7,2.85
776,22,11,4.35,3.09
777,21,12,4.16,3.81
778,22,12,4.61,4.18
779,21,12,4.44,4.95
780,21,12,4.54,5.52
781,20,12,3.8,6.4
782,21,12,4.58,6.67
783,21,12,4.31,7.24
784,21,12,4.42,7.81
785,20,12,4.12,8.8
786,21,12,4.16,8.95
787,20,12,3.97,10.0
788,22,12,4.46,9.64
789,20,12,3.79,11.2
790,21,12,4.31,11.24
791,20,12,3.79,12.4
792,21,12,4.44,12.38
793,21,12,4.28,12.95
794,21,12,4.26,13.52
795,21,12,4.01,14.1
796,22,12,4.48,14.0
797,20,12,3.85,16.0
798,21,12,4.04,15.81
799,20,12,3.9,17.2
800,21,12,4.61,16.95
801,21,12,4.24,17.52
802,22,12,4.73,17.27
803,21,12,4.23,18.67
804,20,12,3.74,20.2
805,20,12,3.89,20.8
806,21,12,3.86,20.38
807,20,12,3.72,22.0
808,21,12,4.15,21.52
809,21,12,3.73,22.1
810,20,12,2.43,23.8
811,21,10,2.33,18.9
812,22,10,2.42,14.59
813,21,8,2.26,11.67
814,22,8,2.48,7.68
815,22,6,2.46,4.18
816,21,6,2.67,0.86
817,21,6,3.29,1.14
818,21,8,3.84,1.52
819,20,8,3.99,2.0
820,21,10,4.2,2.38
821,21,10,4.51,2.86
822,20,10,4.65,3.5
823,20,10,4.63,4.0
824,19,10,4.73,4.74
825,20,10,4.74,5.0
826,20,10,4.89,5.5
827,20,10,4.91,6.0
828,20,10,4.83,6.5
829,19,10,4.44,7.37
830,20,10,4.66,7.5
831,20,10,4.68,8.0
832,20,10,4.91,8.5
833,21,10,5.12,8.57
834,20,10,4.79,9.5
835,20,10,5.13,10.0
836,20,10,5.07,10.5
837,20,10,5.33,11.0
838,20,10,5.38,11.5
839,20,10,5.46,12.0
840,18,10,4.71,13.89
841,20,10,5.27,13.0
842,18,10,4.69,15.0
843,20,10,5.29,14.0
844,19,10,4.88,15.26
845,19,10,5.43,15.79
846,19,10,5.03,16.32
847,19,10,5.52,16.84
848,18,10,5.07,18.33
849,19,10,5.44,17.89
850,18,10,5.03,19.44
851,20,10,5.62,18.0
852,18,10,4.91,20.56
853,20,10,5.32,19.0
854,18,10,4.28,21.67
855,20,10,3.8,20.0
856,19,8,2.55,16.84
857,20,7,2.31,12.05
858,21,6,2.54,7.76
859,21,5,2.86,4.1
860,20,5,2.68,0.55
861,21,5,3.14,0.76
862,21,6,3.18,1.05
863,23,7,3.74,1.26
864,22,9,3.97,1.73
865,21,10,3.91,2.29
866,21,12,3.7,2.86
867,21,12,3.98,3.43
868,22,12,4.2,3.82
869,22,12,4.47,4.36
870,21,12,4.19,5.14
871,22,12,4.27,5.45
872,21,12,4.12,6.29
873,21,12,3.94,6.86
874,22,12,4.55,7.09
875,20,12,3.76,8.4
876,22,12,4.41,8.18
877,21,12,4.09,9.14
878,21,12,4.21,9.71
879,20,12,3.7,10.8
880,21,12,4.4,10.86
881,21,12,4.15,11.43
882,21,12,4.21,12.0
883,22,12,4.15,12.0
884,22,12,4.31,12.55
885,20,12,3.64,14.4
886,22,12,4.13,13.64
887,21,12,3.81,14.86
888,21,12,3.88,15.43
889,21,12,3.8,16.0
890,22,12,4.26,15.82
891,20,12,3.49,18.0
892,21,12,3.48,17.71
893,21,12,3.75,18.29
894,23,12,4.25,17.22
895,21,12,3.62,19.43
896,21,12,3.83,20.0
897,22,12,4.01,19.64
898,22,12,3.94,20.18
899,22,12,3.83,20.73
900,22,12,3.27,21.27
901,22,10,2.85,17.82
902,22,8,2.55,14.27
903,21,6,2.22,11.29
904,22,6,2.35,7.32
905,23,5,2.86,3.7
906,22,4,3.28,0.41
907,21,6,3.46,0.71
908,21,7,4.09,1.05
909,21,9,4.47,1.48
910,21,10,4.43,1.95
911,22,10,4.96,2.32
912,20,10,4.45,3.05
913,21,10,4.74,3.38
914,20,10,4.55,4.05
915,20,10,4.76,4.55
916,20,10,4.51,5.05
917,21,10,5.15,5.29
918,20,10,4.49,6.05
919,21,10,5.04,6.24
920,20,10,4.82,7.05
921,21,10,5.12,7.19
922,20,10,4.77,8.05
923,19,10,4.63,9.0
924,20,10,5.03,9.05
925,20,10,5.12,9.55
926,20,10,4.7,10.05
927,20,10,4.69,10.55
928,20,10,4.84,11.05
929,20,10,4.74,11.55
930,20,10,4.96,12.05
931,19,10,4.74,13.21
932,19,10,4.31,13.74
933,20,10,4.87,13.55
934,20,10,4.59,14.05
935,21,10,5.03,13.86
936,20,10,4.75,15.05
937,20,10,4.85,15.55
938,20,10,5.03,16.05
939,20,10,4.99,16.55
940,20,10,4.94,17.05
941,20,10,4.96,17.55
942,20,10,4.64,18.05
943,20,10,4.6,18.55
944,20,10,4.5,19.05
945,20,10,3.78,19.55
946,20,8,2.84,15.75
947,20,6,2.4,11.9
948,21,6,2.44,7.71
949,20,4,2.3,4.25
950,20,4,2.87,0.4
951,21,6,3.45,0.67
952,21,6,3.54,0.95
953,23,7,4.14,1.17
954,21,8,3.73,1.67
955,21,10,4.17,2.14
956,21,11,3.96,2.67
957,20,12,3.87,3.4
958,22,12,4.61,3.64
959,20,12,4.02,4.6
960,22,12,4.65,4.73
961,20,12,3.69,5.8
962,21,12,4.3,6.1
963,20,12,3.73,7.0
964,21,12,4.39,7.24
965,20,12,4.09,8.2
966,21,12,4.46,8.38
967,21,12,4.52,8.95
968,22,12,4.87,9.09
969,20,12,4.13,10.6
970,21,12,4.22,10.67
971,21,12,4.26,11.24
972,20,12,3.67,12.4
973,21,12,3.92,12.38
974,20,12,3.46,13.6
975,21,12,3.63,13.52
976,22,12,3.8,13.45
977,21,12,3.57,14.67
978,22,12,3.91,14.55
979,21,12,3.58,15.81
980,22,12,4.12,15.64
981,22,12,4.01,16.18
982,22,12,4.14,16.73
983,22,12,4.16,17.27
984,22,12,4.36,17.82
985,21,12,4.38,19.24
986,22,12,4.52,18.91
987,21,12,4.35,20.38
988,22,12,4.39,20.0
989,21,12,3.81,21.52
990,21,12,2.29,22.1
991,21,10,2.38,18.48
992,22,10,1.83,14.27
993,22,9,2.0,10.86
994,23,8,2.38,7.22
