Time,Simulation_Step,Vehicle_Count,Queue_Length,Halting_Vehicles,Traffic_Density,Lane_Occupancy,Average_Speed,Maximum_Speed,Minimum_Speed,Average_Acceleration,Average_Waiting_Time,Maximum_Waiting_Time,Current_TLS_Phase,Remaining_Green_Time,North_Count,South_Count,East_Count,West_Count,Car_Count,Bus_Count,Truck_Count,Motorcycle_Count,Emergency_Vehicle_Count,Total_CO2_Emission,Total_Fuel_Consumption,Total_NOx_Emission,Total_PMx_Emission,Average_Travel_Time,Average_Delay,Intersection_Throughput,Congestion_Level,Recommended_Green_Time
27,27,19,10,10,51.27,0.25,5.03,13.31,0.0,0.16,8.63,21.0,0,15.0,10,1,0,0,19,0,0,0,0,38106.46,12353.69,13.47,1.61,13.0,11.54,3,1,35
28,28,20,10,10,53.96,0.27,5.48,13.69,0.0,0.2,8.7,22.0,0,14.0,10,1,0,0,20,0,0,0,0,48620.67,15762.27,17.4,2.86,10.0,11.44,1,1,35
29,29,19,10,10,51.27,0.25,5.51,14.61,0.0,0.3,9.68,23.0,0,13.0,10,0,0,0,19,0,0,0,0,53096.57,17213.24,19.45,2.79,11.0,12.41,1,1,35
30,30,20,10,10,53.96,0.27,5.48,14.09,0.0,-0.04,9.7,24.0,0,12.0,10,1,0,0,20,0,0,0,0,35372.25,11467.35,13.44,2.09,10.0,12.31,1,1,35
31,31,20,10,10,53.96,0.27,5.57,13.92,0.0,0.09,10.2,25.0,0,11.0,10,1,0,0,20,0,0,0,0,39852.57,12919.72,13.94,1.39,0.0,12.91,0,2,50
32,32,21,10,10,56.66,0.28,5.66,13.35,0.0,0.08,10.19,26.0,0,10.0,10,1,0,0,21,0,0,0,0,44355.37,14379.56,16.01,2.97,10.0,12.82,1,2,50
33,33,19,10,10,51.27,0.26,5.24,14.87,0.0,0.19,11.79,27.0,0,9.0,10,0,0,0,19,0,0,0,0,43594.26,14132.74,15.93,2.15,11.5,14.4,2,2,50
34,34,20,10,10,53.96,0.26,5.23,14.48,0.0,0.06,11.7,28.0,0,8.0,10,0,0,0,20,0,0,0,0,39847.33,12918.12,14.76,2.55,10.0,14.18,1,2,50
35,35,20,10,10,53.96,0.28,5.08,13.42,0.0,-0.15,12.2,29.0,0,7.0,10,1,0,0,20,0,0,0,0,27062.23,8773.35,10.14,1.16,0.0,14.8,0,2,50
36,36,20,10,10,53.96,0.26,5.11,13.76,0.0,0.1,12.7,30.0,0,6.0,10,1,0,0,20,0,0,0,0,37963.06,12307.22,13.49,1.87,10.0,15.4,1,2,50
37,37,20,10,10,53.96,0.28,5.23,12.32,0.0,0.4,13.2,31.0,0,5.0,10,1,0,0,20,0,0,0,0,51640.05,16741.11,18.21,2.91,9.0,15.93,1,2,50
38,38,19,10,10,51.27,0.25,5.03,13.02,0.0,-0.04,14.42,32.0,0,4.0,10,0,0,0,19,0,0,0,0,36210.98,11739.26,13.41,2.33,11.5,17.02,2,2,50
39,39,20,10,10,53.96,0.26,4.91,13.77,0.0,-0.21,14.2,33.0,0,3.0,10,0,0,0,20,0,0,0,0,29018.95,9407.71,11.07,1.59,0.0,16.75,0,2,50
40,40,21,10,10,56.66,0.28,5.19,12.52,0.0,-0.09,14.0,34.0,0,2.0,10,1,0,0,21,0,0,0,0,35121.86,11386.16,12.78,1.87,0.0,16.57,0,2,50
41,41,21,10,10,56.66,0.29,4.86,13.56,0.0,-0.04,14.48,35.0,0,1.0,10,1,0,0,21,0,0,0,0,36370.92,11791.07,13.13,1.71,11.0,17.13,1,2,50
42,42,22,10,10,59.36,0.29,5.27,12.27,0.0,0.07,14.27,36.0,0,0.0,10,2,0,0,22,0,0,0,0,41116.06,13329.44,15.17,2.59,0.0,16.96,0,2,50
43,43,21,10,10,56.66,0.31,4.76,12.86,0.0,-0.14,15.43,37.0,1,0.0,10,2,0,0,21,0,0,0,0,39019.54,12649.76,14.21,2.47,12.0,18.26,2,2,50
44,44,21,10,10,56.66,0.3,4.05,14.01,0.0,-0.35,15.9,38.0,1,0.0,10,1,0,0,21,0,0,0,0,38185.36,12379.27,13.97,1.54,12.0,18.8,1,2,50
45,45,21,11,11,56.66,0.31,3.19,13.01,0.0,-0.4,16.43,39.0,1,0.0,10,1,0,0,21,0,0,0,0,41494.36,13452.03,15.9,1.66,11.0,19.44,1,2,50
46,46,20,9,9,53.96,0.29,2.0,13.59,0.0,-0.16,13.9,38.0,2,41.0,8,0,0,0,20,0,0,0,0,33203.38,10764.2,12.03,0.9,11.0,20.92,2,2,50
47,47,21,8,8,56.66,0.28,1.98,13.38,0.0,-0.01,10.1,37.0,2,40.0,8,0,0,0,21,0,0,0,0,32605.95,10570.4,11.41,0.81,0.0,20.73,0,2,50
48,48,20,8,8,53.96,0.27,1.65,6.09,0.0,0.23,7.35,37.0,2,39.0,8,0,0,0,20,0,0,0,0,38802.77,12579.25,12.24,0.78,10.0,22.6,1,2,50
49,49,20,7,7,53.96,0.28,2.05,7.83,0.0,0.4,4.1,35.0,2,38.0,6,1,0,0,20,0,0,0,0,45318.85,14691.7,14.41,1.14,0.0,23.44,0,2,50
50,50,22,6,6,59.36,0.29,2.47,10.43,0.0,0.57,0.86,6.0,2,37.0,6,1,0,0,22,0,0,0,0,56011.14,18157.99,18.13,1.66,0.0,22.02,0,2,50
51,51,22,7,7,59.36,0.31,3.15,12.99,0.0,0.69,1.18,7.0,2,36.0,6,2,0,0,22,0,0,0,0,64943.37,21053.69,21.51,2.29,0.0,22.79,0,1,35
52,52,21,9,9,56.66,0.27,3.25,13.25,0.0,0.57,1.67,8.0,2,35.0,4,1,0,0,21,0,0,0,0,61485.3,19932.71,20.79,2.15,50.0,22.54,1,2,50
53,53,23,10,10,62.06,0.31,3.79,13.76,0.0,0.31,1.96,9.0,2,34.0,6,2,0,0,23,0,0,0,0,51887.5,16821.37,18.38,2.31,0.0,21.26,0,2,50
54,54,21,12,12,56.66,0.28,3.42,12.71,0.0,0.45,2.71,10.0,2,33.0,4,1,0,0,21,0,0,0,0,56434.22,18295.28,19.68,2.1,51.5,19.85,2,2,50
55,55,21,12,12,56.66,0.29,4.08,14.03,0.0,0.66,3.29,11.0,2,32.0,4,2,0,0,21,0,0,0,0,66826.25,21664.19,23.13,2.9,0.0,20.53,0,2,50
56,56,21,12,12,56.66,0.28,3.82,12.81,0.0,0.31,3.86,12.0,2,31.0,5,1,0,0,21,0,0,0,0,50552.76,16388.63,18.15,2.2,51.5,16.98,2,2,50
57,57,21,12,12,56.66,0.29,4.21,12.89,0.0,0.39,4.43,13.0,2,30.0,4,2,0,0,21,0,0,0,0,54192.24,17568.47,18.95,2.32,0.0,17.67,0,2,50
58,58,22,12,12,59.36,0.3,4.62,12.22,0.0,0.29,4.77,14.0,2,29.0,5,2,0,0,22,0,0,0,0,51694.15,16758.67,18.44,2.62,50.0,15.53,1,2,50
59,59,22,12,12,59.36,0.3,4.96,12.81,0.0,0.35,5.32,15.0,2,28.0,4,3,0,0,22,0,0,0,0,56749.43,18397.5,20.39,2.97,0.0,16.16,0,2,50
60,60,22,12,12,59.36,0.31,5.19,14.72,0.0,0.38,5.86,16.0,2,27.0,5,3,0,0,22,0,0,0,0,61344.38,19887.12,22.45,3.5,53.0,12.75,2,1,35
61,61,21,12,12,56.66,0.29,4.51,13.39,0.0,-0.22,6.71,17.0,2,26.0,3,3,0,0,21,0,0,0,0,29858.42,9679.87,11.55,1.35,53.0,11.77,1,2,50
62,62,21,12,12,56.66,0.29,4.08,12.98,0.0,-0.16,7.29,18.0,2,25.0,5,2,0,0,21,0,0,0,0,30546.81,9903.03,11.73,1.31,32.5,10.13,2,2,50
63,63,20,12,12,53.96,0.28,3.74,12.71,0.0,0.1,8.25,19.0,2,24.0,3,2,0,0,20,0,0,0,0,41241.95,13370.2,15.02,1.81,10.0,11.21,1,2,50
64,64,21,12,12,56.66,0.27,3.95,13.13,0.0,0.08,8.43,20.0,2,23.0,5,2,0,0,21,0,0,0,0,39171.66,12699.08,14.61,2.05,8.0,11.31,1,2,50
65,65,20,12,12,53.96,0.26,3.43,13.15,0.0,-0.08,9.45,21.0,2,22.0,4,1,0,0,20,0,0,0,0,31601.02,10244.77,11.96,1.21,7.0,12.55,1,2,50
66,66,21,12,12,56.66,0.28,4.2,14.73,0.0,0.33,9.57,22.0,2,21.0,4,2,0,0,21,0,0,0,0,51241.61,16611.94,18.67,2.45,0.0,12.63,0,2,50
67,67,21,12,12,56.66,0.27,3.94,13.93,0.0,0.21,10.14,23.0,2,20.0,4,1,0,0,21,0,0,0,0,46076.74,14937.6,16.87,2.43,7.0,13.23,1,2,50
68,68,21,12,12,56.66,0.29,3.88,13.13,0.0,0.01,10.71,24.0,2,19.0,5,2,0,0,21,0,0,0,0,32656.72,10586.99,11.81,0.99,12.0,13.78,1,2,50
69,69,20,12,12,53.96,0.25,3.61,13.29,0.0,0.18,11.85,25.0,2,18.0,3,1,0,0,20,0,0,0,0,41304.82,13390.56,14.73,1.43,7.0,15.16,1,2,50
70,70,22,12,12,59.36,0.31,4.32,14.28,0.0,0.24,11.32,26.0,2,17.0,5,2,0,0,22,0,0,0,0,48745.83,15802.88,17.6,2.52,0.0,14.43,0,2,50
71,71,21,12,12,56.66,0.28,4.16,13.09,0.0,0.22,12.43,27.0,2,16.0,3,1,0,0,21,0,0,0,0,44437.09,14406.03,15.96,1.94,7.0,15.77,1,2,50
72,72,21,12,12,56.66,0.27,4.39,13.87,0.0,0.24,13.0,28.0,2,15.0,4,1,0,0,21,0,0,0,0,46131.06,14955.2,16.85,2.22,14.0,16.3,1,2,50
73,73,21,12,12,56.66,0.29,4.18,12.43,0.0,0.08,13.57,29.0,2,14.0,4,1,0,0,21,0,0,0,0,40994.47,13290.02,15.13,2.1,7.0,16.94,1,2,50
74,74,21,12,12,56.66,0.27,4.37,13.79,0.0,0.21,14.14,30.0,2,13.0,4,1,0,0,21,0,0,0,0,52012.92,16862.01,18.84,2.76,14.0,17.39,1,2,50
75,75,22,12,12,59.36,0.31,4.58,15.45,0.0,0.12,14.05,31.0,2,12.0,4,2,0,0,22,0,0,0,0,50480.44,16365.2,18.55,2.67,0.0,17.25,0,2,50
76,76,21,12,12,56.66,0.27,4.25,14.58,0.0,0.15,15.29,32.0,2,11.0,4,1,0,0,21,0,0,0,0,42784.42,13870.28,15.79,2.23,11.0,18.44,2,2,50
77,77,22,12,12,59.36,0.3,4.44,14.29,0.0,0.09,15.14,33.0,2,10.0,4,2,0,0,22,0,0,0,0,42532.72,13788.7,15.52,2.39,0.0,18.27,0,2,50
78,78,21,12,12,56.66,0.28,4.08,12.0,0.0,0.08,16.43,34.0,2,9.0,4,1,0,0,21,0,0,0,0,40895.96,13258.08,15.05,2.03,11.0,19.54,2,2,50
79,79,20,12,12,53.96,0.26,3.92,13.92,0.0,0.24,17.85,35.0,2,8.0,3,1,0,0,20,0,0,0,0,50670.61,16426.82,18.62,2.32,7.0,21.14,1,2,50
80,80,22,12,12,59.36,0.29,4.5,14.14,0.0,0.13,16.77,36.0,2,7.0,5,1,0,0,22,0,0,0,0,45250.65,14669.78,17.04,2.12,0.0,19.88,0,2,50
81,81,20,12,12,53.96,0.26,3.85,14.06,0.0,0.26,19.05,37.0,2,6.0,3,1,0,0,20,0,0,0,0,43475.3,14094.2,15.59,1.68,10.5,22.26,2,2,50
82,82,21,12,12,56.66,0.28,4.42,13.98,0.0,0.17,18.71,38.0,2,5.0,4,2,0,0,21,0,0,0,0,45617.04,14788.6,16.95,2.68,0.0,21.85,0,2,50
83,83,20,12,12,53.96,0.27,3.7,14.27,0.0,0.17,20.25,39.0,2,4.0,4,1,0,0,20,0,0,0,0,40922.74,13266.77,15.35,2.11,10.0,23.4,2,2,50
84,84,21,12,12,56.66,0.27,4.39,15.17,0.0,0.29,19.86,40.0,2,3.0,4,2,0,0,21,0,0,0,0,47245.88,15316.59,17.03,2.36,0.0,22.94,0,2,50
85,85,21,12,12,56.66,0.28,4.08,13.82,0.0,0.1,20.43,41.0,2,2.0,4,1,0,0,21,0,0,0,0,38723.82,12553.92,14.47,2.03,7.0,23.57,1,2,50
86,86,21,12,12,56.66,0.28,4.12,12.64,0.0,0.14,21.0,42.0,2,1.0,4,1,0,0,21,0,0,0,0,40167.41,13021.88,14.73,1.95,13.0,24.06,1,2,50
87,87,20,12,12,53.96,0.26,3.83,12.77,0.0,0.13,22.65,43.0,2,0.0,3,1,0,0,20,0,0,0,0,40632.15,13172.53,14.83,1.85,7.0,25.95,1,2,50
88,88,22,12,12,59.36,0.29,4.09,12.31,0.0,-0.08,21.14,44.0,3,0.0,5,2,0,0,22,0,0,0,0,38651.48,12530.47,14.61,1.9,0.0,24.24,0,2,50
89,89,20,12,12,53.96,0.28,3.24,12.72,0.0,-0.05,23.85,45.0,3,0.0,5,1,0,0,20,0,0,0,0,40212.95,13036.62,14.43,1.7,10.5,27.22,2,2,50
90,90,22,13,13,59.36,0.31,2.94,13.42,0.0,-0.39,22.27,46.0,3,0.0,7,1,0,0,22,0,0,0,0,35844.98,11620.62,14.09,1.41,0.0,25.47,0,2,50
91,91,20,11,11,53.96,0.28,1.91,12.24,0.0,-0.02,20.55,44.0,0,41.0,7,0,0,0,20,0,0,0,0,38786.26,12573.96,13.04,0.9,10.5,28.59,2,2,50
92,92,21,10,10,56.66,0.28,1.86,13.18,0.0,-0.08,15.86,44.0,0,40.0,8,0,0,0,21,0,0,0,0,35387.15,11472.08,12.34,0.8,0.0,28.05,0,2,50
93,93,22,8,8,59.36,0.29,1.99,13.44,0.0,0.2,11.55,43.0,0,39.0,9,1,0,0,22,0,0,0,0,45693.01,14813.08,15.29,1.16,0.0,27.59,0,2,50
94,94,21,7,7,56.66,0.3,1.91,8.21,0.0,0.47,8.38,43.0,0,38.0,9,1,0,0,21,0,0,0,0,48003.39,15561.97,15.37,1.17,14.0,29.55,1,2,50
95,95,22,6,6,59.36,0.3,2.31,10.31,0.0,0.47,4.41,42.0,0,37.0,10,1,0,0,22,0,0,0,0,57233.7,18554.34,18.72,1.61,0.0,28.98,0,2,50
96,96,22,6,6,59.36,0.32,3.0,12.38,0.0,0.68,0.86,7.0,0,36.0,10,2,0,0,22,0,0,0,0,58756.72,19048.02,19.1,1.95,0.0,29.77,0,1,35
97,97,21,7,7,56.66,0.28,3.32,14.31,0.0,0.74,1.24,8.0,0,35.0,10,1,0,0,21,0,0,0,0,63091.06,20453.2,20.88,2.29,60.0,29.42,1,1,35
98,98,21,9,9,56.66,0.29,4.05,14.04,0.0,0.72,1.67,9.0,0,34.0,10,1,0,0,21,0,0,0,0,64301.66,20845.71,21.35,2.72,0.0,30.12,0,2,50
99,99,20,10,10,53.96,0.28,4.14,13.72,0.0,0.59,2.25,10.0,0,33.0,10,2,0,0,20,0,0,0,0,57024.14,18486.47,19.27,2.48,59.0,29.8,1,2,50
100,100,20,10,10,53.96,0.27,4.56,13.68,0.0,0.64,2.75,11.0,0,32.0,10,1,0,0,20,0,0,0,0,62257.47,20183.06,21.4,2.97,61.0,27.74,1,2,50
101,101,20,10,10,53.96,0.27,4.61,13.86,0.0,0.27,3.25,12.0,0,31.0,10,2,0,0,20,0,0,0,0,47563.32,15419.48,17.12,2.46,59.0,25.87,1,2,50
102,102,19,10,10,51.27,0.27,4.66,14.14,0.0,0.4,3.95,13.0,0,30.0,10,1,0,0,19,0,0,0,0,49536.47,16059.14,17.51,2.63,61.0,25.06,1,2,50
103,103,20,10,10,53.96,0.26,4.98,14.14,0.0,0.32,4.25,14.0,0,29.0,10,1,0,0,20,0,0,0,0,50905.46,16502.97,18.4,2.99,60.0,21.85,1,2,50
104,104,20,10,10,53.96,0.29,5.22,15.33,0.0,0.24,4.75,15.0,0,28.0,10,2,0,0,20,0,0,0,0,47503.24,15399.99,17.06,2.6,0.0,22.48,0,1,35
105,105,19,10,10,51.27,0.25,4.86,13.82,0.0,0.1,5.53,16.0,0,27.0,10,1,0,0,19,0,0,0,0,38295.87,12415.11,13.77,2.09,60.5,18.74,2,2,50
106,106,20,10,10,53.96,0.28,5.02,13.7,0.0,0.07,5.75,17.0,0,26.0,10,2,0,0,20,0,0,0,0,36430.81,11810.52,13.27,2.05,0.0,18.42,0,1,35
107,107,19,10,10,51.27,0.25,5.03,13.43,0.0,0.22,6.58,18.0,0,25.0,10,1,0,0,19,0,0,0,0,40926.69,13267.99,14.59,2.34,60.5,14.52,2,1,35
108,108,20,10,10,53.96,0.27,5.48,14.03,0.0,0.32,6.75,19.0,0,24.0,10,1,0,0,20,0,0,0,0,48793.65,15818.34,17.42,2.83,0.0,14.38,0,1,35
109,109,20,10,10,53.96,0.27,5.45,13.56,0.0,-0.06,7.25,20.0,0,23.0,10,1,0,0,20,0,0,0,0,32753.25,10618.29,12.14,1.76,59.0,12.48,1,1,35
110,110,20,10,10,53.96,0.26,5.36,14.06,0.0,0.12,7.75,21.0,0,22.0,10,0,0,0,20,0,0,0,0,40618.31,13168.04,15.05,2.54,60.0,10.44,1,1,35
111,111,20,10,10,53.96,0.27,5.33,13.85,0.0,-0.1,8.25,22.0,0,21.0,10,1,0,0,20,0,0,0,0,30153.31,9775.49,11.5,2.29,10.0,11.04,1,1,35
112,112,20,10,10,53.96,0.27,5.48,14.69,0.0,0.15,8.75,23.0,0,20.0,10,1,0,0,20,0,0,0,0,44467.34,14415.82,16.41,2.69,0.0,11.64,0,1,35
113,113,21,10,10,56.66,0.28,5.42,14.28,0.0,-0.06,8.81,24.0,0,19.0,10,2,0,0,21,0,0,0,0,32926.35,10674.47,12.4,2.3,10.0,11.62,1,1,35
114,114,20,10,10,53.96,0.29,5.33,14.73,0.0,0.27,9.75,25.0,0,18.0,10,2,0,0,20,0,0,0,0,48500.6,15723.3,16.97,2.43,14.0,12.6,1,1,35
115,115,20,10,10,53.96,0.26,5.16,14.2,0.0,0.13,10.25,26.0,0,17.0,10,1,0,0,20,0,0,0,0,46376.53,15034.76,16.93,2.88,11.0,12.93,2,2,50
116,116,19,10,10,51.27,0.28,4.81,14.57,0.0,0.12,11.32,27.0,0,16.0,10,2,0,0,19,0,0,0,0,37546.29,12172.15,13.92,2.44,9.0,14.25,1,2,50
117,117,20,10,10,53.96,0.27,4.98,15.15,0.0,0.05,11.25,28.0,0,15.0,10,1,0,0,20,0,0,0,0,37263.36,12080.4,13.41,2.04,11.0,13.94,1,2,50
118,118,20,10,10,53.96,0.28,4.43,12.99,0.0,-0.09,11.75,29.0,0,14.0,10,1,0,0,20,0,0,0,0,30405.79,9857.3,11.16,1.73,9.0,14.51,1,2,50
119,119,20,10,10,53.96,0.28,4.87,13.76,0.0,0.44,12.25,30.0,0,13.0,10,2,0,0,20,0,0,0,0,52113.64,16894.61,18.07,2.85,0.0,15.15,0,2,50
120,120,20,10,10,53.96,0.27,4.76,13.39,0.0,0.08,12.75,31.0,0,12.0,10,1,0,0,20,0,0,0,0,37697.84,12221.29,13.76,2.24,12.0,15.53,1,2,50
121,121,20,10,10,53.96,0.27,4.72,13.0,0.0,0.09,13.25,32.0,0,11.0,10,2,0,0,20,0,0,0,0,40605.56,13163.86,14.31,1.84,10.0,16.14,1,2,50
122,122,19,10,10,51.27,0.26,4.57,13.45,0.0,0.12,14.47,33.0,0,10.0,10,1,0,0,19,0,0,0,0,44762.87,14511.59,16.02,2.12,12.0,17.36,1,2,50
123,123,20,10,10,53.96,0.27,4.94,14.07,0.0,0.33,14.25,34.0,0,9.0,10,2,0,0,20,0,0,0,0,47481.01,15392.8,17.01,2.55,10.0,17.07,1,2,50
124,124,20,10,10,53.96,0.29,5.06,13.84,0.0,0.11,14.75,35.0,0,8.0,10,2,0,0,20,0,0,0,0,37577.77,12182.32,13.5,2.0,0.0,17.69,0,2,50
125,125,20,10,10,53.96,0.27,4.71,13.21,0.0,0.04,15.25,36.0,0,7.0,10,1,0,0,20,0,0,0,0,34400.26,11152.25,12.8,1.97,11.0,18.02,2,2,50
126,126,20,10,10,53.96,0.28,4.92,12.95,0.0,0.22,15.75,37.0,0,6.0,10,2,0,0,20,0,0,0,0,44279.45,14354.91,16.01,2.3,0.0,18.65,0,2,50
127,127,19,10,10,51.27,0.26,4.43,12.19,0.0,-0.08,17.11,38.0,0,5.0,10,1,0,0,19,0,0,0,0,25339.68,8214.93,9.57,1.1,11.0,20.01,2,2,50
128,128,20,10,10,53.96,0.27,4.56,13.51,0.0,0.08,16.75,39.0,0,4.0,10,1,0,0,20,0,0,0,0,39454.82,12790.88,14.64,2.27,0.0,19.62,0,2,50
129,129,21,10,10,56.66,0.28,5.15,13.1,0.0,0.19,16.43,40.0,0,3.0,10,2,0,0,21,0,0,0,0,43476.11,14094.48,15.64,2.45,0.0,19.3,0,2,50
130,130,19,10,10,51.27,0.26,4.63,14.17,0.0,0.12,18.68,41.0,0,2.0,10,1,0,0,19,0,0,0,0,37546.79,12172.27,13.61,2.01,12.5,21.65,2,2,50
131,131,21,10,10,56.66,0.27,5.21,13.98,0.0,0.07,17.38,42.0,0,1.0,10,1,0,0,21,0,0,0,0,39059.85,12662.83,14.29,2.53,0.0,20.17,0,2,50
132,132,20,10,10,53.96,0.28,4.87,14.71,0.0,0.0,18.75,43.0,0,0.0,10,2,0,0,20,0,0,0,0,37630.23,12199.32,13.68,1.98,11.0,21.79,1,2,50
133,133,21,10,10,56.66,0.27,4.91,12.48,0.0,-0.12,18.33,44.0,1,0.0,10,1,0,0,21,0,0,0,0,37877.11,12279.42,13.93,2.3,13.0,21.13,1,2,50
134,134,20,10,10,53.96,0.29,4.59,12.69,0.0,0.04,19.75,45.0,1,0.0,10,2,0,0,20,0,0,0,0,40405.57,13099.03,14.42,1.9,11.0,22.85,1,2,50
135,135,21,10,10,56.66,0.31,3.89,12.45,0.0,-0.43,19.29,46.0,1,0.0,10,2,0,0,21,0,0,0,0,33549.82,10876.52,12.38,1.33,10.0,22.35,1,2,50
136,136,20,8,8,53.96,0.29,3.55,14.99,0.0,0.02,16.25,45.0,2,41.0,8,1,0,0,20,0,0,0,0,49322.22,15989.57,17.04,1.92,13.0,24.0,1,2,50
